Item,Price
Chai Crème Frappuccino® Blended Beverage,$5.07
Chestnut Praline Frappuccino Blended Beverage,$6.79
Apple Crisp Oatmilk Crème Frappuccino Blended Beverage,$6.83
Caramel Brulée Crème Frappuccino Blended Beverage,$6.83
Chestnut Praline Crème Frappuccino Blended Beverage,$6.78
Pistachio Crème Frappuccino Blended Beverage,$6.86
Peppermint Mocha Crème Frappuccino Blended Beverage,$6.84
Peppermint White Chocolate Crème Frappuccino Blended Beverage,$6.85
Peppermint Mocha Frappuccino Blended Beverage,$6.80
Peppermint White Chocolate Mocha Frappuccino Blended Beverage,$6.81
Pumpkin Spice Frappuccino Blended Beverage,$6.76
Toasted White Chocolate Créme Frappuccino®,$5.59
Vanilla Bean Crème Frappuccino Blended Crème,$5.92
Classic Chai Tea Latte Hot,$4.39
Full-Leaf Brewed Tea Hot,$2.43
Green Tea Latte,$4.11
Java Chip Frappuccino,$4.77
Coffee Frappuccino,$5.02
Strawberry Frappuccino,$4.54
Double Chocolaty Chip Creme Frappuccino,$4.70
Salted Caramel Mocha Creme Frappuccino,$5.13
Iced Chai Tea Latte,$4.72
Iced Tea,$2.26
Iced Matcha Lemonade,$4.44
Iced Black Tea,$3.15
Iced Pumpkin Cream Chai Tea Latte,$6.39
Iced Black Tea Lemonade,$4.00
Pineapple Black Tea Infusion,$3.74
Iced Royal English Breakfast Tea Latte,$4.67
Iced London Fog Tea Latte,$5.05
Iced Blueberry Black Tea,$3.25
Strawberry Green Tea Infusion,$3.74
Iced Blueberry Black Tea Lemonade,$3.78
Pina Colada Tea Infusion,$4.36
Matcha Lemonade,$3.95
Pineapple Black Tea Infusion Lemonade,$3.75
Iced Matcha Green Tea Latte,$4.11
Iced Green Tea,$3.18
Iced Green Tea Lemonade,$3.86
Strawberry Green Tea Infusion Lemonade,$4.35
Iced Peach Green Tea,$3.38
Iced Peach Green Tea Lemonade,$3.86
Iced Passion Tango Tea,$3.32
Iced Passion Tango Tea Lemonade,$3.82
Iced White Tea,$2.52
Iced Passion Tango™ Lemonade,$4.13
Peach Citrus White Tea Infusion,$3.74
Iced White Tea Lemonade,$3.30
Iced Guava White Tea,$3.25
Iced Guava White Tea Lemonade,$3.80
Peach Citrus White Tea Infusion Lemonade,$4.36
