Item,Price
Mini Ham & Cheese Toasties,£3.90
Chicken & Avocado Wrap,£4.25
Turkey & Swiss-Style Deli Sub,£4.58
Vegan All Day Breakfast Burrito,£4.45
Vegan Beetroot Wrap,£4.25
Bacon & Egg Muffin,£4.45
Halloumi & Avocado Muffin,£5.10
Chicken & Hickory Bacon Sandwich,£4.25
Scrambled Eggs,£5.10
Vegan Mac,£5.10
Vegan Smokey Jackfruit and Grains,£5.10
Pulled Beef Open Burrito,£5.43
Vegan Roasted Vegetable Salad,£5.75
Chicken Salad,£5.75
Fruit Mix,£3.90
Fairtrade Banana,£0.70
Berry Bircher,£2.83
Dark Chocolate Bar,£1.30
Gold Chocolate Coin,£0.90
Shortbread Biscuit,£1.30
"Mallow & Marsh, Raspberry & Dark Chocolate Bar",£2.40
"Mallow & Marsh, Vanilla & Milk Chocolate Bar",£2.40
Caramel Waffle,£1.60
"Almonds, Cashews, Cranberries & Raisins",£1.60
Smoked Almonds,£1.60
Fairtrade Certified Decaf Espresso Roast 250g,£5.40
Fairtrade Certified Espresso Roast 250g,£5.40
Colombia Espresso Capsules,£3.55
Kenya Espresso Capsules,£3.55
Guatemala Antigua Espresso Capsules,£3.55
